iter	Passed	Remaining
452	1047	1264
453	1048	1261
454	1050	1258
455	1052	1255
456	1054	1252
457	1056	1250
458	1058	1247
459	1060	1244
460	1062	1241
461	1063	1239
462	1065	1236
463	1067	1232
464	1068	1229
465	1070	1226
466	1072	1224
467	1074	1221
468	1077	1219
469	1079	1217
470	1080	1214
471	1082	1210
472	1084	1208
473	1086	1206
474	1088	1203
475	1091	1201
476	1093	1198
477	1094	1195
478	1096	1192
479	1098	1190
480	1100	1187
481	1101	1184
482	1103	1181
483	1106	1179
484	1108	1176
485	1109	1173
486	1112	1171
487	1113	1168
488	1115	1165
489	1116	1162
490	1120	1161
491	1122	1158
492	1124	1156
493	1126	1153
494	1127	1150
495	1129	1147
496	1131	1145
497	1133	1142
498	1136	1140
499	1138	1138
500	1140	1136
501	1142	1133
502	1143	1130
503	1146	1127
504	1147	1124
505	1149	1122
506	1151	1119
507	1153	1117
508	1155	1114
509	1157	1112
510	1159	1109
511	1160	1106
512	1162	1103
513	1163	1100
514	1166	1098
515	1169	1096
516	1172	1094
517	1173	1092
518	1175	1089
519	1176	1086
520	1178	1083
521	1180	1081
522	1183	1079
523	1185	1076
524	1187	1074
525	1189	1071
526	1190	1068
527	1192	1066
528	1194	1063
529	1196	1060
530	1198	1058
531	1200	1056
532	1202	1053
533	1204	1050
534	1205	1048
535	1207	1045
536	1209	1042
537	1210	1039
538	1212	1037
539	1215	1035
540	1216	1032
541	1219	1030
542	1220	1027
543	1222	1024
544	1223	1021
545	1226	1019
546	1227	1016
547	1229	1014
548	1231	1011
549	1234	1010
550	1236	1007
551	1237	1004
552	1239	1002
553	1241	999
554	1243	996
555	1244	993
556	1246	991
557	1248	989
558	1251	987
559	1253	984
560	1254	981
561	1256	979
562	1257	976
563	1259	973
564	1262	972
565	1265	970
566	1267	968
567	1269	965
568	1270	962
569	1272	960
570	1274	957
571	1276	955
572	1280	954
573	1285	953
574	1287	951
575	1289	949
576	1290	946
577	1294	944
578	1297	943
579	1298	940
580	1301	938
581	1303	936
582	1304	933
583	1306	930
584	1308	928
585	1311	926
586	1315	925
587	1318	923
588	1321	921
589	1325	920
590	1330	920
591	1333	918
592	1336	917
593	1339	915
594	1343	914
595	1348	913
596	1351	912
597	1353	910
598	1356	908
599	1361	907
600	1364	906
601	1366	903
602	1368	900
603	1370	898
604	1373	896
605	1376	895
606	1380	893
607	1382	891
608	1384	888
609	1386	886
610	1387	883
611	1390	881
612	1392	878
613	1393	876
614	1396	874
615	1398	871
616	1399	869
617	1401	866
618	1403	863
619	1405	861
620	1407	858
621	1409	856
622	1411	854
623	1413	851
624	1414	848
625	1416	846
626	1418	843
627	1420	841
628	1422	838
629	1424	836
630	1426	834
631	1428	831
632	1430	829
633	1432	826
634	1433	824
635	1435	821
636	1437	819
637	1439	816
638	1441	814
639	1444	812
640	1446	809
641	1447	807
642	1449	804
643	1451	802
644	1453	799
645	1455	797
646	1457	795
647	1459	792
648	1460	790
649	1462	787
650	1464	785
651	1466	782
652	1467	780
653	1469	777
654	1471	775
655	1473	772
656	1475	770
657	1477	767
658	1478	765
659	1480	762
660	1482	760
661	1484	758
662	1487	755
663	1488	753
664	1490	751
665	1492	748
666	1494	746
667	1495	743
668	1497	741
669	1499	738
670	1501	736
671	1503	733
672	1505	731
673	1507	729
674	1508	726
675	1509	723
676	1511	721
677	1512	718
678	1514	715
679	1516	713
680	1518	711
681	1520	708
682	1521	706
683	1523	703
684	1524	701
685	1526	698
686	1527	696
687	1529	693
688	1531	691
689	1532	688
690	1535	686
691	1536	684
692	1538	681
693	1540	679
694	1541	676
695	1543	674
696	1544	671
697	1546	669
698	1547	666
699	1549	664
700	1551	661
701	1554	659
702	1555	657
703	1557	654
704	1557	651
705	1559	649
706	1561	646
707	1562	644
708	1564	642
709	1567	640
710	1569	637
711	1570	635
712	1572	632
713	1573	630
714	1575	627
715	1576	625
716	1578	622
717	1579	620
718	1581	618
719	1583	615
720	1585	613
721	1587	611
722	1589	608
723	1590	606
724	1592	604
725	1594	601
726	1595	599
727	1598	597
728	1600	594
729	1601	592
730	1603	590
731	1604	587
732	1606	585
733	1608	582
734	1609	580
735	1611	577
736	1613	575
737	1615	573
738	1617	571
739	1618	568
740	1620	566
741	1621	563
742	1623	561
743	1624	559
744	1626	556
745	1628	554
746	1630	552
747	1632	550
748	1634	547
749	1636	545
750	1637	542
751	1639	540
752	1641	538
753	1642	535
754	1644	533
755	1647	531
756	1649	529
757	1651	527
758	1652	524
759	1655	522
760	1656	520
761	1658	517
762	1660	515
763	1663	513
764	1665	511
765	1667	509
766	1669	507
767	1671	504
768	1672	502
769	1674	500
770	1676	497
771	1678	495
772	1680	493
773	1682	491
774	1685	489
775	1687	487
776	1689	484
777	1691	482
778	1693	480
779	1697	478
780	1699	476
781	1701	474
782	1702	471
783	1704	469
784	1706	467
785	1708	465
786	1708	462
787	1711	460
788	1712	458
789	1714	455
790	1715	453
791	1717	451
792	1718	448
793	1720	446
794	1722	444
795	1723	441
796	1725	439
797	1727	437
798	1729	435
799	1730	432
800	1732	430
801	1733	428
802	1735	425
803	1737	423
804	1738	421
805	1740	419
806	1742	416
807	1744	414
808	1746	412
809	1747	409
810	1749	407
811	1751	405
812	1752	403
813	1754	400
814	1755	398
815	1758	396
816	1759	394
817	1761	391
818	1763	389
819	1763	387
820	1765	384
821	1767	382
822	1768	380
823	1769	378
824	1771	375
825	1773	373
826	1775	371
827	1777	369
828	1778	366
829	1780	364
830	1781	362
831	1783	360
832	1784	357
833	1786	355
834	1787	353
835	1789	351
836	1791	348
837	1793	346
838	1795	344
839	1796	342
840	1798	339
841	1799	337
842	1801	335
843	1802	333
844	1804	331
845	1806	328
846	1808	326
847	1810	324
848	1811	322
849	1813	319
850	1814	317
851	1816	315
852	1817	313
853	1819	311
854	1820	308
855	1823	306
856	1827	304
857	1829	302
858	1830	300
859	1832	298
860	1834	296
861	1835	293
862	1837	291
863	1839	289
864	1841	287
865	1842	285
866	1844	282
867	1845	280
868	1847	278
869	1848	276
870	1850	274
871	1852	271
872	1854	269
873	1856	267
874	1857	265
875	1859	263
876	1860	260
877	1862	258
878	1863	256
879	1865	254
880	1866	252
881	1868	250
882	1870	247
883	1872	245
884	1874	243
885	1875	241
886	1877	239
887	1878	236
888	1880	234
889	1881	232
890	1883	230
891	1885	228
892	1887	226
893	1888	223
894	1890	221
895	1891	219
896	1893	217
897	1895	215
898	1896	213
899	1898	210
900	1901	208
901	1903	206
902	1904	204
903	1906	202
904	1907	200
905	1909	198
906	1911	196
907	1913	193
908	1915	191
909	1917	189
910	1918	187
911	1920	185
912	1922	183
913	1924	181
914	1925	178
915	1927	176
916	1928	174
917	1930	172
918	1932	170
919	1934	168
920	1936	166
921	1937	163
922	1939	161
923	1940	159
924	1942	157
925	1943	155
926	1945	153
927	1947	151
928	1949	149
929	1951	146
930	1953	144
931	1954	142
932	1956	140
933	1957	138
934	1959	136
935	1960	134
936	1961	131
937	1963	129
938	1966	127
939	1967	125
940	1968	123
941	1969	121
942	1971	119
943	1972	117
944	1974	114
945	1975	112
946	1977	110
947	1978	108
948	1980	106
949	1982	104
950	1984	102
951	1986	100
952	1988	98
953	1989	95
954	1991	93
955	1992	91
956	1994	89
957	1996	87
958	1998	85
959	2000	83
960	2002	81
961	2003	79
962	2005	77
963	2007	74
964	2008	72
965	2010	70
966	2012	68
967	2014	66
968	2016	64
969	2017	62
970	2020	60
971	2021	58
972	2023	56
973	2024	54
974	2027	51
975	2029	49
976	2031	47
977	2033	45
978	2034	43
979	2036	41
980	2037	39
981	2039	37
982	2041	35
983	2043	33
984	2046	31
985	2048	29
986	2049	26
987	2051	24
988	2053	22
989	2054	20
990	2056	18
991	2058	16
992	2060	14
993	2062	12
994	2064	10
995	2066	8
996	2069	6
997	2071	4
998	2074	2
999	2076	0
