iter	RMSE
416	251193.6372
417	250714.617
418	249783.5801
419	249629.1226
420	249279.4115
421	248638.7633
422	248183.3615
423	247782.1596
424	247703.5178
425	247662.5045
426	246982.3155
427	246639.9213
428	246264.0388
429	245616.6489
430	245284.4438
431	245208.4344
432	244879.6165
433	244841.0377
434	244168.5095
435	243552.15
436	243100.9346
437	242482.9324
438	241508.5793
439	241201.7931
440	240504.2262
441	240462.5755
442	239754.1263
443	239412.0443
444	238771.0041
445	238397.0938
446	237817.0588
447	237688.4801
448	237060.6911
449	236634.8833
450	236432.3153
451	235786.1418
452	234903.5834
453	234753.3953
454	234712.7548
455	233852.4904
456	233498.3651
457	232615.8365
458	231808.7403
459	231604.4204
460	230889.8804
461	230693.0494
462	230085.8291
463	229509.2605
464	228969.213
465	228233.5327
466	227948.2045
467	227624.7677
468	227332.1102
469	227102.7858
470	226793.7315
471	226080.5581
472	225702.4549
473	225147.9857
474	224322.579
475	223527.5737
476	222970.8897
477	222462.7265
478	221546.5133
479	221327.8049
480	221114.7867
481	220739.0887
482	220688.2208
483	220517.3405
484	220158.0313
485	219775.408
486	219267.4497
487	218354.4578
488	218083.024
489	217582.9423
490	217546.9297
491	216687.836
492	216060.7955
493	215529.7153
494	215304.4816
495	215102.9757
496	214815.4298
497	214117.2728
498	213920.7606
499	213520.652
500	213078.6509
501	212849.8525
502	212513.0135
503	211835.0322
504	211714.9075
505	211529.9265
506	210927.204
507	210115.3662
508	209748.9329
509	209712.2739
510	209336.7105
511	209028.0909
512	208902.9554
513	208485.0383
514	208372.7363
515	207555.8222
516	207522.4842
517	207227.971
518	206955.0729
519	206605.2361
520	206275.0478
521	205805.2494
522	205007.7284
523	204837.9966
524	204348.0654
525	204109.7835
526	203587.2548
527	203316.2676
528	202871.2044
529	202266.6564
530	201955.6452
531	201788.1318
532	201396.4563
533	201125.35
534	200798.9895
535	200672.0392
536	200336.5882
537	200033.0328
538	199767.5958
539	199449.9399
540	199382.8542
541	199144.87
542	198836.5593
543	198669.5392
544	197883.4324
545	197824.5068
546	197429.7872
547	197043.3047
548	196663.1633
549	196293.5186
550	196159.2512
551	195996.6121
552	195822.7337
553	195374.3505
554	195016.5088
555	194497.9083
556	194139.1292
557	193368.765
558	193025.564
559	192981.5753
560	192762.5148
561	192589.564
562	192277.428
563	192185.3272
564	191679.3701
565	191144.2001
566	190749.294
567	190575.8768
568	190081.2454
569	189887.4545
570	189717.7928
571	189416.7611
572	189250.2325
573	189037.0141
574	188935.7818
575	188525.7652
576	188058.7389
577	188002.1272
578	187875.852
579	187841.9564
580	187680.5892
581	187341.7124
582	186971.2151
583	186699.1514
584	186538.0457
585	186170.5961
586	185866.3385
587	185547.7803
588	185156.4303
589	185015.3964
590	184665.8164
591	184343.9564
592	184215.5774
593	183918.0131
594	183579.3607
595	183321.3603
596	183034.6805
597	182796.8931
598	182639.437
599	182279.3263
600	182059.9667
601	181741.7576
602	181514.7487
603	181446.5724
604	181037.9585
605	180998.8773
606	180674.5553
607	180553.8422
608	180368.4615
609	180073.8613
610	179673.1349
611	179117.2446
612	178679.4109
613	178619.3772
614	178444.5041
615	178154.2559
616	178106.636
617	177877.5189
618	177758.6453
619	177513.3381
620	177216.8056
621	177103.3076
622	177031.1372
623	176923.0266
624	176596.1776
625	176363.7089
626	176141.216
627	175882.8006
628	175729.1925
629	175524.3848
630	175280.7899
631	175141.1613
632	174917.7151
633	174814.1157
634	174502.8245
635	174180.3161
636	174000.1869
637	173969.2474
638	173871.6169
639	173768.9372
640	173517.6162
641	173355.7431
642	173042.5416
643	172867.6635
644	172831.6123
645	172367.2132
646	171953.7863
647	171641.0341
648	171380.9722
649	170904.2059
650	170695.4523
651	170550.8295
652	170190.9043
653	170003.5332
654	169829.0715
655	169664.1121
656	169556.6898
657	168982.3461
658	168860.2647
659	168756.1191
660	168523.0841
661	168114.2079
662	167837.5018
663	167736.4689
664	167478.5412
665	167281.6687
666	167087.2692
667	166875.3442
668	166635.9062
669	166358.3546
670	166144.0173
671	166003.195
672	165670.2301
673	165548.4061
674	165477.4434
675	165422.3136
676	165087.0285
677	164749.2619
678	164417.959
679	164226.3019
680	164009.0846
681	163421.6699
682	163293.4637
683	163048.0473
684	162770.9273
685	162616.6558
686	162340.5681
687	162021.2506
688	161751.0077
689	161656.7712
690	161352.9568
691	161126.4148
692	160873.3259
693	160606.2959
694	160386.0753
695	160335.0146
696	160042.2485
697	159924.0361
698	159413.6643
699	159207.0517
700	158908.4566
701	158703.4091
702	158572.7712
703	158402.9535
704	158350.8756
705	158285.7359
706	158048.9705
707	157751.4874
708	157514.2151
709	157368.23
710	157082.9984
711	157036.1013
712	156987.9739
713	156860.7619
714	156558.0394
715	156406.0165
716	155854.9595
717	155642.6641
718	155399.3618
719	155365.3644
720	155074.9484
721	154685.5858
722	154549.7946
723	154416.6094
724	153991.4455
725	153789.8233
726	153524.0715
727	153417.1002
728	153345.3572
729	152996.0341
730	152321.2831
731	152190.0436
732	151926.9569
733	151550.0861
734	151212.1102
735	151138.9269
736	151052.1786
737	150736.3878
738	150370.2654
739	150300.8334
740	150204.5729
741	150155.4534
742	149847.5529
743	149490.6804
744	149018.2387
745	148714.6835
746	148365.7274
747	148050.0288
748	147764.4348
749	147324.3216
750	147179.1691
751	147009.7931
752	146865.6868
753	146687.2532
754	146588.0044
755	146280.8898
756	146016.4849
757	145537.3722
758	145237.6124
759	144851.3221
760	144752.1273
761	144671.418
762	144623.0125
763	144543.8021
764	144292.259
765	144190.1618
766	143974.6953
767	143708.2739
768	143682.119
769	143499.9114
770	143352.1659
771	143160.4943
772	143037.8716
773	142774.1781
774	142490.4334
775	142416.1382
776	142369.7515
777	141979.4453
778	141711.1932
779	141494.3482
780	141311.8349
781	140982.0164
782	140805.1732
783	140635.8277
784	140607.9362
785	140378.586
786	140350.3076
787	140079.8218
788	139967.5128
789	139841.7143
790	139659.7505
791	139308.8167
792	138961.9374
793	138856.4495
794	138718.7444
795	138321.6971
796	138229.1585
797	138033.2903
798	137971.1056
799	137730.8331
800	137691.3353
801	137510.2927
802	137341.5815
803	137313.7721
804	137188.0672
805	136984.6079
806	136866.8154
807	136754.192
808	136475.0387
809	136352.5308
810	136327.877
811	135955.7975
812	135838.8094
813	135683.3753
814	135563.7589
815	135541.33
816	135425.1669
817	135290.8186
818	135100.5507
819	135061.1322
820	134850.7516
821	134558.0035
822	134527.1236
823	134481.1733
824	134288.7788
825	134223.3532
826	134050.157
827	133953.2361
828	133889.1494
829	133777.1033
830	133656.2105
831	133532.5208
832	133472.4891
833	133312.2411
834	133132.8319
835	133051.5906
836	132936.9553
837	132841.9718
838	132641.859
839	132464.8713
840	132277.6975
841	132234.2163
842	131948.6282
843	131844.7679
844	131632.7089
845	131577.4532
846	131487.7729
847	131274.7137
848	131134.0581
849	130852.6028
850	130796.3831
851	130550.984
852	130464.2846
853	130240.9674
854	130207.2725
855	129907.6315
856	129676.5265
857	129567.8777
858	129403.3262
859	129303.0963
860	129115.4248
861	129047.9359
862	128716.1396
863	128677.8578
864	128511.3263
865	128346.2278
866	128248.8165
867	128153.221
868	128079.2644
869	127984.1939
870	127911.0342
871	127533.8629
872	127215.126
873	127025.478
874	126801.6041
875	126650.2535
876	126558.7123
877	126405.8234
878	126149.5895
879	125957.7981
880	125933.0467
881	125825.9083
882	125702.3537
883	125521.8867
884	125432.0325
885	125211.6442
886	125175.581
887	125088.8389
888	124761.9591
889	124654.9835
890	124485.833
891	124391.0969
892	124136.744
893	123912.8695
894	123664.5928
895	123508.8851
896	123382.6912
897	123337.0652
898	123156.2239
899	123103.6173
900	122963.916
901	122819.1076
902	122663.7863
903	122632.8478
904	122603.9829
905	122588.3313
906	122557.9339
907	122394.0639
908	122257.0863
909	122175.64
910	121760.4175
911	121640.2535
912	121614.2314
913	121458.9557
914	121245.3998
915	121136.176
916	120762.3574
917	120440.898
918	120164.0269
919	120084.9778
920	119916.2692
921	119718.5853
922	119538.3378
923	119411.7128
924	119360.2721
925	119284.5806
926	119096.007
927	118865.3815
928	118750.114
929	118536.0672
930	118402.3516
931	118336.7895
932	118263.7058
933	118194.2947
934	118066.7914
935	117914.9348
936	117888.3015
937	117816.3666
938	117705.2611
939	117597.8512
940	117578.9386
941	117471.1744
942	117442.9659
943	117226.4248
944	117119.7945
945	117016.4559
946	116938.1484
947	116682.5964
948	116555.4796
949	116418.7401
950	116383.298
951	116200.944
952	116123.5403
953	116032.832
954	115886.6253
955	115802.1819
956	115684.3463
957	115650.4359
958	115518.4944
959	115312.7026
960	115219.7708
961	115144.665
962	115082.6375
963	114992.5453
964	114764.5425
965	114694.2706
966	114602.5539
967	114462.2997
968	114322.0057
969	114292.1475
970	114271.1396
971	114024.2668
972	113892.6481
973	113671.8201
974	113654.4873
975	113504.3781
976	113478.0393
977	113378.7699
978	113294.9667
979	113010.0051
980	112945.6311
981	112906.1229
982	112810.6122
983	112626.7516
984	112402.1768
985	112324.9878
986	112135.4987
987	112046.3865
988	111836.2914
989	111647.2203
990	111462.1481
991	111386.2575
992	111352.077
993	111272.2259
994	111118.7801
995	110908.7277
996	110848.9359
997	110702.6947
998	110635.2179
999	110538.828
